»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/14/2016 - 15:6:35
Configured:	11/14/16 02:58:19 PM
Executed:	11/14/16 03:05:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	142.86 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 313	3.1300e-001	1.8766	54.083355
 314	3.1400e-001	1.8659	54.062033
 315	3.1500e-001	1.8586	54.024025
 316	3.1600e-001	1.8496	54.013828
 317	3.1700e-001	1.8361	53.989725
 318	3.1800e-001	1.8262	53.969330
 319	3.1900e-001	1.8161	53.957279
 320	3.2000e-001	1.8041	53.927614
 321	3.2100e-001	1.7970	53.919271
 322	3.2200e-001	1.7870	53.913708
 323	3.2300e-001	1.7731	53.901657
 324	3.2400e-001	1.7677	53.871992
 325	3.2500e-001	1.7544	53.819152
 326	3.2600e-001	1.7458	53.807100
 327	3.2700e-001	1.7356	53.795976
 328	3.2800e-001	1.7279	53.766311
 329	3.2900e-001	1.7181	53.778362
 330	3.3000e-001	1.7082	53.738500
 331	3.3100e-001	1.6981	53.692148
 332	3.3200e-001	1.6866	53.687513
 333	3.3300e-001	1.6780	53.659702
 334	3.3400e-001	1.6668	53.648578
 335	3.3500e-001	1.6539	53.613351
 336	3.3600e-001	1.6470	53.593883
 337	3.3700e-001	1.6375	53.579051
 338	3.3800e-001	1.6261	53.567000
 339	3.3900e-001	1.6168	53.521575
 340	3.4000e-001	1.6051	53.551240
 341	3.4100e-001	1.5989	53.490983
 342	3.4200e-001	1.5878	53.467807
 343	3.4300e-001	1.5759	53.429799
 344	3.4400e-001	1.5674	53.405696
 345	3.4500e-001	1.5579	53.399207
 346	3.4600e-001	1.5467	53.374177
 347	3.4700e-001	1.5368	53.351929
 348	3.4800e-001	1.5285	53.329680
 349	3.4900e-001	1.5174	53.299088
 350	3.5000e-001	1.5069	53.254591
 351	3.5100e-001	1.4977	53.256445
 352	3.5200e-001	1.4870	53.231415
 353	3.5300e-001	1.4745	53.186917
 354	3.5400e-001	1.4688	53.176720
 355	3.5500e-001	1.4568	53.154471
 356	3.5600e-001	1.4474	53.131296
 357	3.5700e-001	1.4371	53.092361
 358	3.5800e-001	1.4259	53.119244
 359	3.5900e-001	1.4151	53.081236
 360	3.6000e-001	1.4055	53.036739
 361	3.6100e-001	1.3955	52.992241
 362	3.6200e-001	1.3882	52.997804
 363	3.6300e-001	1.3750	52.964430
 364	3.6400e-001	1.3683	52.944963
 365	3.6500e-001	1.3562	52.929203
 366	3.6600e-001	1.3480	52.880998
 367	3.6700e-001	1.3376	52.846698
 368	3.6800e-001	1.3262	52.820741
 369	3.6900e-001	1.3137	52.795711
 370	3.7000e-001	1.3058	52.761411
 371	3.7100e-001	1.2965	52.753068
 372	3.7200e-001	1.2867	52.718768
 373	3.7300e-001	1.2770	52.715060
 374	3.7400e-001	1.2686	52.669635
 375	3.7500e-001	1.2560	52.663146
 376	3.7600e-001	1.2471	52.656657
 377	3.7700e-001	1.2346	52.598254
 378	3.7800e-001	1.2283	52.577859
 379	3.7900e-001	1.2154	52.532435
 380	3.8000e-001	1.2076	52.497208
 381	3.8100e-001	1.1964	52.486083
 382	3.8200e-001	1.1893	52.458272
 383	3.8300e-001	1.1782	52.453637
 384	3.8400e-001	1.1673	52.409140
 385	3.8500e-001	1.1579	52.358153
 386	3.8600e-001	1.1486	52.332196
 387	3.8700e-001	1.1390	52.307167
 388	3.8800e-001	1.1261	52.274721
 389	3.8900e-001	1.1195	52.245983
 390	3.9000e-001	1.1066	52.219099
 391	3.9100e-001	1.0976	52.228369
 392	3.9200e-001	1.0872	52.190361
 393	3.9300e-001	1.0760	52.140301
 394	3.9400e-001	1.0658	52.162550
 395	3.9500e-001	1.0565	52.099512
 396	3.9600e-001	1.0505	52.068920
 397	3.9700e-001	1.0358	51.996612
 398	3.9800e-001	1.0246	51.977144
 399	3.9900e-001	1.0172	51.943771
 400	4.0000e-001	1.0083	51.922449
 401	4.0100e-001	0.9985	51.902055
 402	4.0200e-001	0.9874	51.884441
 403	4.0300e-001	0.9789	51.839017
 404	4.0400e-001	0.9685	51.801936
 405	4.0500e-001	0.9575	51.777833
 406	4.0600e-001	0.9442	51.733336
 407	4.0700e-001	0.9371	51.705525
 408	4.0800e-001	0.9281	51.661027
 409	4.0900e-001	0.9173	51.642487
 410	4.1000e-001	0.9084	51.619311
 411	4.1100e-001	0.8991	51.564616
 412	4.1200e-001	0.8871	51.560908
 413	4.1300e-001	0.8766	51.498797
 414	4.1400e-001	0.8671	51.458008
 415	4.1500e-001	0.8548	51.409802
 416	4.1600e-001	0.8470	51.386627
 417	4.1700e-001	0.8376	51.373648
 418	4.1800e-001	0.8270	51.320807
 419	4.1900e-001	0.8164	51.299486
 420	4.2000e-001	0.8061	51.270748
 421	4.2100e-001	0.7955	51.214199
 422	4.2200e-001	0.7879	51.200294
 423	4.2300e-001	0.7752	51.135402
 424	4.2400e-001	0.7657	51.099247
 425	4.2500e-001	0.7558	51.070510
 426	4.2600e-001	0.7466	51.014888
 427	4.2700e-001	0.7385	51.005617
 428	4.2800e-001	0.7281	50.958339
 429	4.2900e-001	0.7159	50.899936
 430	4.3000e-001	0.7043	50.895301
 431	4.3100e-001	0.6976	50.824847
 432	4.3200e-001	0.6860	50.789620
 433	4.3300e-001	0.6788	50.733071
